State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AR,05,02700,Bald Knob School District,"6,754","1,190",285
AR,05,02730,Barton-Lexa School District,"2,301",410,150
AR,05,00019,Batesville School District,"20,622","3,613",632
AR,05,02790,Bauxite School District,"7,122","1,328",141
AR,05,02820,Bay School District,"3,059",570,86
AR,05,00032,Bearden School District,"2,861",503,101
AR,05,02880,Beebe School District,"18,699","3,537",574
AR,05,02960,Benton School District,"33,009","5,973",650
AR,05,03060,Bentonville Public Schools,"117,754","22,614","1,223"
AR,05,03090,Bergman School District,"5,207",993,160
AR,05,03150,Berryville Public Schools,"11,197","2,091",366
AR,05,03240,Bismarck Public Schools,"6,466",985,159
AR,05,03300,Blevins School District,"3,162",531,185
AR,05,03320,Blytheville School District,"13,942","2,623",940
AR,05,03450,Booneville School District,"7,472","1,189",336
AR,05,03480,Bradford School District,"2,666",483,97
AR,05,03630,Brinkley School District,"3,571",589,239
AR,05,03640,Brookland School District,"12,963","2,646",234
AR,05,03690,Bryant Public Schools,"57,940","10,749","1,062"
AR,05,03710,Buffalo Island Central School District,"4,604",808,166
AR,05,03750,Cabot Public Schools,"56,137","10,826","1,216"
AR,05,03770,Caddo Hills School District,"3,384",522,153
AR,05,03840,Calico Rock School District,"3,777",370,90
AR,05,06060,Camden Fairview School District,"16,589","2,635",682
AR,05,03960,Carlisle School District,"3,949",634,100
AR,05,04050,Cave City School District,"8,479","1,433",341
AR,05,00070,Cedar Ridge School District,"5,398","1,012",178
AR,05,04080,Cedarville School District,"4,802",797,162
AR,05,06690,Centerpoint School District,"5,184",981,262
AR,05,04200,Charleston School District,"4,933",884,128
AR,05,04350,Clarendon School District,"3,073",481,159
AR,05,04380,Clarksville School District,"14,598","2,678",564
AR,05,00067,Cleveland County School District,"4,603",752,167
AR,05,04410,Clinton School District,"8,456","1,322",304
AR,05,04560,Concord Public Schools,"4,137",634,115
AR,05,04590,Conway Public Schools,"79,095","11,780","1,719"
AR,05,00009,Corning Public Schools,"6,089",964,249
AR,05,00405,Cossatot River School District,"4,799",922,249
AR,05,04680,Cotter School District,"4,541",722,143
AR,05,04740,County Line School District,"3,326",561,138
AR,05,07740,Cross County School District,"3,320",538,159
AR,05,04800,Crossett School District,"10,320","1,741",482
AR,05,04860,Cutter-Morning Star School District,"3,787",649,111
AR,05,04890,Danville School District,"3,504",629,138
AR,05,04930,Dardanelle Public Schools,"10,194","1,753",356
AR,05,00049,De Queen School District,"12,286","2,578",678
AR,05,00001,DeWitt School District,"7,752","1,239",295
AR,05,04980,Decatur School District,"3,696",708,120
AR,05,00072,Deer/Mount Judea School District,"2,085",301,88
AR,05,05170,Dermott School District,"3,333",468,187
AR,05,05190,Des Arc Public Schools,"3,517",553,113
AR,05,05340,Dierks School District,"2,506",424,101
AR,05,05430,Dover School District,"8,121","1,432",232
AR,05,05470,Drew Central School District,"6,013",910,194
AR,05,05500,Dumas School District,"10,332","1,176",423
AR,05,05550,Earle School District,"2,334",456,220
AR,05,05580,East End School District,"3,898",650,112
AR,05,00048,East Poinsett County School District,"3,122",556,144
AR,05,05680,El Dorado School District,"24,110","4,301",990
AR,05,05760,Elkins School District,"5,863","1,117",130
AR,05,00068,Emerson-Taylor-Bradley School District,"5,214",813,223
AR,05,05850,England School District,"3,753",603,128
AR,05,05970,Eureka Springs School District,"8,678",818,188
AR,05,06090,Farmington School District,"13,608","2,583",193
