year,system_name,subgroup,pct_met_exceeded,student_group
2022,Cannon County,,20.0,All Students
2022,Cannon County,,20.1,All Students
2022,Cannon County,,72.7,All Students
2022,Cannon County,,18.8,All Students
2022,Cannon County,,24.8,All Students
2022,Cannon County,,32.9,All Students
2022,Cannon County,,22.5,All Students
2022,Cannon County,,22.5,All Students
2022,Cannon County,,33.3,All Students
2022,Cannon County,,26.7,All Students
2022,Cannon County,,27.1,All Students
2022,Cannon County,,14.2,All Students
2022,Cannon County,,29.2,All Students
2022,Cannon County,,28.3,All Students
2022,Cannon County,,24.2,All Students
2022,Hollow Rock - Bruceton,,13.2,All Students
2022,Hollow Rock - Bruceton,,12.8,All Students
2022,Hollow Rock - Bruceton,,4.5,All Students
2022,Hollow Rock - Bruceton,,4.4,All Students
2022,Hollow Rock - Bruceton,,34.7,All Students
2022,Hollow Rock - Bruceton,,32.7,All Students
2022,Hollow Rock - Bruceton,,34.7,All Students
2022,Hollow Rock - Bruceton,,25.5,All Students
2022,Hollow Rock - Bruceton,,20.5,All Students
2022,Hollow Rock - Bruceton,,44.7,All Students
2022,Hollow Rock - Bruceton,,33.3,All Students
2022,Hollow Rock - Bruceton,,20.5,All Students
2022,Hollow Rock - Bruceton,,30.1,All Students
2022,Hollow Rock - Bruceton,,35.0,All Students
2022,Hollow Rock - Bruceton,,31.8,All Students
2022,Hollow Rock - Bruceton,,28.3,All Students
2022,Hollow Rock - Bruceton,,27.8,All Students
2022,Hollow Rock - Bruceton,,26.5,All Students
2022,Hollow Rock - Bruceton,,23.2,All Students
2022,Hollow Rock - Bruceton,,38.8,All Students
2022,Hollow Rock - Bruceton,,27.7,All Students
2022,Hollow Rock - Bruceton,,28.6,All Students
2022,Hollow Rock - Bruceton,,40.4,All Students
2022,Hollow Rock - Bruceton,,43.9,All Students
2022,Hollow Rock - Bruceton,,38.6,All Students
2022,Hollow Rock - Bruceton,,36.7,All Students
2022,Hollow Rock - Bruceton,,40.8,All Students
2022,Hollow Rock - Bruceton,,42.6,All Students
2022,Hollow Rock - Bruceton,,38.1,All Students
2022,Hollow Rock - Bruceton,,48.9,All Students
2022,Hollow Rock - Bruceton,,26.3,All Students
2022,Hollow Rock - Bruceton,,26.7,All Students
2022,Hollow Rock - Bruceton,,36.9,All Students
2022,Hollow Rock - Bruceton,,76.6,All Students
2022,Hollow Rock - Bruceton,,33.3,All Students
2022,Hollow Rock - Bruceton,,17.8,All Students
2022,Hollow Rock - Bruceton,,42.3,All Students
2022,Huntingdon Special School District,,19.4,All Students
2022,Huntingdon Special School District,,19.1,All Students
2022,Huntingdon Special School District,,54.8,All Students
2022,Huntingdon Special School District,,11.3,All Students
2022,Huntingdon Special School District,,24.7,All Students
2022,Huntingdon Special School District,,20.7,All Students
2022,Huntingdon Special School District,,57.6,All Students
2022,Huntingdon Special School District,,44.4,All Students
2022,Huntingdon Special School District,,42.6,All Students
2022,Huntingdon Special School District,,30.1,All Students
2022,Huntingdon Special School District,,37.8,All Students
2022,Huntingdon Special School District,,42.2,All Students
2022,Huntingdon Special School District,,40.7,All Students
2022,Huntingdon Special School District,,29.0,All Students
2022,Huntingdon Special School District,,37.0,All Students
2022,Huntingdon Special School District,,38.5,All Students
2022,Huntingdon Special School District,,38.0,All Students
2022,Huntingdon Special School District,,50.0,All Students
2022,Huntingdon Special School District,,49.0,All Students
2022,Huntingdon Special School District,,29.2,All Students
2022,Huntingdon Special School District,,28.0,All Students
2022,Huntingdon Special School District,,52.7,All Students
2022,Huntingdon Special School District,,59.1,All Students
2022,Huntingdon Special School District,,67.9,All Students
2022,Huntingdon Special School District,,38.5,All Students
2022,Huntingdon Special School District,,34.1,All Students
2022,Huntingdon Special School District,,45.8,All Students
2022,Huntingdon Special School District,,49.0,All Students
2022,Huntingdon Special School District,,38.7,All Students
2022,Huntingdon Special School District,,56.4,All Students
2022,Huntingdon Special School District,,40.7,All Students
2022,Huntingdon Special School District,,46.8,All Students
2022,Huntingdon Special School District,,44.0,All Students
2022,Huntingdon Special School District,,31.8,All Students
2022,Huntingdon Special School District,,43.0,All Students
2022,Huntingdon Special School District,,42.2,All Students
2022,Huntingdon Special School District,,62.6,All Students
2022,Huntingdon Special School District,,33.6,All Students
2022,Huntingdon Special School District,,45.3,All Students
2022,McKenzie,,27.8,All Students
2022,McKenzie,,25.6,All Students
2022,McKenzie,,23.4,All Students
2022,McKenzie,,24.7,All Students
2022,McKenzie,,59.3,All Students
2022,McKenzie,,56.5,All Students
2022,McKenzie,,29.6,All Students
2022,McKenzie,,44.1,All Students
2022,McKenzie,,36.0,All Students
2022,McKenzie,,39.8,All Students
2022,McKenzie,,34.1,All Students
2022,McKenzie,,19.3,All Students
2022,McKenzie,,34.0,All Students
2022,McKenzie,,39.5,All Students
2022,McKenzie,,38.2,All Students
2022,McKenzie,,50.0,All Students
